"Iteration","03_Downforce Monitor: 03_Downforce Monitor (N)","03_Downforce_Diffusor Monitor: 03_Downforce_Diffusor Monitor (N)","03_Downforce_Frontfluegel Monitor: 03_Downforce_Frontfluegel Monitor (N)","03_Downforce_Heckfluegel Monitor: 03_Downforce_Heckfluegel Monitor (N)","03_Downforce_HI Monitor: 03_Downforce_HI Monitor (N)","03_Downforce_Seitenkasten Monitor: 03_Downforce_Seitenkasten Monitor (N)","03_Downforce_Seitenkasten_Flap Monitor: 03_Downforce_Seitenkasten_Flap Monitor (N)","03_Downforce_Seitenkasten_Main Monitor: 03_Downforce_Seitenkasten_Main Monitor (N)","03_Downforce_VO Monitor: 03_Downforce_VO Monitor (N)","04_Cx Monitor: 04_Cx Monitor","04_Cz Monitor: 04_Cz Monitor","04_Luftwiderstand Monitor: 04_Luftwiderstand Monitor (N)","04_Luftwiderstand_Frontfluegel Monitor: 04_Luftwiderstand_Frontfluegel Monitor (N)","04_Luftwiderstand_Heckfluegel Monitor: 04_Luftwiderstand_Heckfluegel Monitor (N)","04_Luftwiderstand_Seitenkasten Monitor: 04_Luftwiderstand_Seitenkasten Monitor (N)","04_Luftwiderstand_Seitenkasten_Flap Monitor: 04_Luftwiderstand_Seitenkasten_Flap Monitor (N)","04_Luftwiderstand_Seitenkasten_Main Monitor: 04_Luftwiderstand_Seitenkasten_Main Monitor (N)","05_Massflow_KM Monitor: 05_Massflow_KM Monitor (kg/s)","06_Effizienz Monitor: 06_Effizienz Monitor","06_Effizienz_Diffusor Monitor: 06_Effizienz_Diffusor Monitor","06_Effizienz_Frontfluegel Monitor: 06_Effizienz_Frontfluegel Monitor","06_Effizienz_Heckfluegel Monitor: 06_Effizienz_Heckfluegel Monitor","06_Effizienz_Seitenkasten Monitor: 06_Effizienz_Seitenkasten Monitor","Iteration: Iteration 2"
1.0,161.87075079462727,12.13329301763953,47.3430277202873,72.53502459184949,61.07231736568973,38.16349088635558,10.162693844022847,27.49751518716176,100.79813947170199,2.0752472629170047,-1.7498916320084466,191.96722036284893,27.601532286551766,44.17385617591338,23.18554535642194,7.639264936682112,7.6123657022579945,0.32320270384397304,0.0,4.788027599774559,1.7152318657089245,1.6420351509044975,1.6460035897229843,1.0
2.0,161.81276888140403,12.133714132108809,47.34816652196261,72.52960804654333,60.84366099827445,38.18766791877331,10.169827618515145,27.501035795879705,100.96881430382696,2.0824058558109386,-1.7492648228767218,192.62941382967762,27.552397993397488,44.17447335514357,23.062284769413317,7.620423950966564,7.536284642814213,0.3254591796331745,0.0,4.791413876710847,1.7184771551757083,1.641889592286405,1.6558492924959562,2.0
3.0,161.81360347212114,12.133765468116405,47.34669633177704,72.53003812659183,60.83853573099878,38.182248745798105,10.167823515313447,27.49963008252281,100.97477420299583,2.083653902171103,-1.7492738451571823,192.7448622366824,27.588492336987592,44.212725458704455,23.10923285883536,7.627050255841675,7.559953820833498,0.32539033456614486,0.0,4.784434241578113,1.7161755616598098,1.6404787846507292,1.6522508115711803,3.0
4.0,161.69722188943814,12.133538464568481,47.35854115019662,72.53666388028213,60.894603021228036,38.21699427601262,10.18441626877401,27.49266170583856,100.80232504554083,2.0677892498211854,-1.7480157107712164,191.27732953922646,27.261562639562037,43.858594440366915,22.723300905834975,7.5635136110798475,7.3689306823811265,0.32499057823301414,0.0,4.840555121681636,1.737190995848118,1.6538757068220198,1.6818416670352287,4.0
5.0,161.68694296091883,12.137794672149935,47.43079395870381,72.6279909116851,61.29367731097639,38.2489280044867,10.225831526909701,27.462741528854746,100.39297053757512,2.0297366846661395,-1.7479045911840538,187.75734168475628,26.62232999289859,43.12296149214258,22.042892132838197,7.450278376691019,7.0574106923718185,0.32421964077491705,0.0,4.951758053313849,1.7816169347820345,1.6842069375248874,1.7352046080879608,5.0
6.0,161.9084579018873,12.169056771967314,47.77355853059866,72.95504474571024,63.53323526077438,38.2082555190755,10.354376374862472,27.2671898269423,98.37492109694686,1.8578206798704922,-1.7502992618683046,171.85454389953327,23.80717589805208,39.698248215311445,19.121021389773937,6.965603724849274,5.780795221941865,0.3220564508166831,0.0,5.524327792729154,2.006687342302853,1.8377396491155948,1.998232978260751,6.0
7.0,161.49109603616205,12.16019438762529,47.64554181986738,72.79694201279962,62.90151490113684,38.10233869190335,10.303113545241818,27.235244076848836,98.58928179976715,1.8945241734233178,-1.7457874026672644,175.24973817871415,24.53896344385917,40.55326924637528,19.96431539400215,7.084293666493794,6.174771322163279,0.32209046008466846,0.0,5.334028360490062,1.9416281347364976,1.7950942887127734,1.9085221776926236,7.0
8.0,161.05547841708213,12.174524436981255,47.7120468940324,72.7423208020266,63.88139989291502,37.86326118710987,10.30788162106676,27.00843126111944,97.17377711157975,1.8058032173578509,-1.7410781910114135,167.04275695379621,23.218681162337,38.855993681464405,18.694550350322366,6.847013804978488,5.6631408885975745,0.32087478801571234,0.0,5.598526058476333,2.054899094416528,1.8721003868375419,2.0253635673273607,8.0
9.0,160.23925816857462,12.189648441429116,47.69781468492479,72.51849781568059,64.77522612237712,37.5013278310278,10.278984810802438,26.699677746862424,95.46372920105972,1.7108581089207502,-1.7322545031263101,158.26002109411837,21.826222483218146,37.0261737161317,17.38911177039002,6.591151973798881,5.152035940270883,0.31965759393699905,0.0,5.900023404826889,2.185344473676053,1.9585739096796129,2.156598239530821,9.0
10.0,158.96328015733044,12.206504480665611,47.577081831154494,72.09674773477963,65.4688840292235,37.01683943440001,10.214616361696905,26.30681805448074,93.49409279603881,1.6132271716349278,-1.718460638369756,149.22883720240475,20.41066188109413,35.13014952890134,16.098597837582513,6.32528113637104,4.658477527090541,0.3184570137435049,0.0,6.233516707689575,2.3309916213556954,2.052275572452833,2.2993828287320417,10.0
11.0,154.9786347771311,12.259215304455745,46.9985084116299,70.67551751963393,66.48907776799005,35.72590362783173,10.019371974226255,25.249706286851072,88.4892546069092,1.3793653619896862,-1.6753849278222803,127.59584804066058,16.91593244934391,30.40526129372811,12.940571503200403,5.6797162165243416,3.4334668381851974,0.3159629677853775,0.0,7.309727800177007,2.778357536740622,2.324450260001963,2.7607670665083193,11.0
12.0,154.6368948032975,12.252231771559291,46.90361383707407,70.5434292661275,65.90797606189216,35.64747066020829,9.980857804860769,25.225715270189383,88.72861823620376,1.4119793532163347,-1.6716905734216334,130.61274985886504,17.530667497737905,31.17225234304408,13.607378993518992,5.772541048425442,3.7283364948796165,0.31603097618752407,0.0,7.009129629960929,2.675517851395353,2.2630199605024335,2.6197161611495274,12.0
13.0,151.47146804953746,12.28377571719667,46.30099090552583,69.38884732667196,65.46428857688478,34.77885654722109,9.82529471499063,24.536443440818612,86.006882697837,1.3129081036114445,-1.6374709644994003,121.44833232444932,16.125148364292986,29.200332671389205,12.47808212647962,5.504361349718087,3.3112076910428594,0.31480954881724005,0.0,7.4395055321381,2.871352861971383,2.3763033150187325,2.7871956759618697,13.0
14.0,147.5735429327223,12.323193664636083,45.4874386924352,67.96107269783107,64.4546421550253,33.794347721701314,9.648240576988563,23.749148693122184,83.11860956619714,1.219016249333608,-1.595332736866389,112.76302595035739,14.79685865830216,27.312668014211045,11.495126280951117,5.2567113585224305,2.9464872728050784,0.31360508853615804,0.0,7.871454350878354,3.074128079672728,2.4882619545798406,2.9398848603953867,14.0
15.0,143.06942303245552,12.369813830135028,44.47686347369387,66.33061892423362,62.89657759904443,32.75422690902422,9.482996672527438,22.89098965231559,80.17256135948628,1.1310737413988774,-1.5466412859134038,104.62805374649659,13.55440443120365,25.53489116558,10.65360283643829,5.040453689269697,2.629130605718104,0.31240524844113016,0.0,8.302529784056894,3.2813587420560872,2.5976464318612256,3.0744741860467744,15.0
16.0,132.32245193801626,12.488739490078498,41.87595331737488,62.495467219929175,58.452266471692944,30.557667885650503,9.254317061255275,20.940845636448067,73.869919464219,0.9514217637061084,-1.4304619595355579,88.00965293873281,10.964319287707081,21.830078739498262,9.03149011743763,4.664673300310862,1.9801666551324808,0.3099869809887801,0.0,9.424841945458207,3.8192934936075007,2.862814558101111,3.3834580438338757,16.0
17.0,132.15481991154843,12.485468719433133,41.83244370360702,62.43182269042301,58.13652569595053,30.522150611113062,9.236842888658712,20.929986187162243,74.01802917256964,0.968246784576607,-1.4286497860642378,89.56602289366371,11.265611631825868,22.216560423488293,9.335510839390695,4.706894808289757,2.108392353295273,0.31003234915522426,0.0,9.167864092251703,3.7132865103771597,2.810147993224794,3.269467642019809,17.0
18.0,125.89262403482321,12.551861099264933,40.235707990386565,60.20285378462055,55.04384934946592,29.371045848290063,9.182802032587071,19.841539968772466,70.84852122882003,0.8941753972772835,-1.360952786397001,82.71417512479388,10.236348521725283,20.688919400289333,8.855224545443736,4.597851507238664,1.9024179303005118,0.30895139303297736,0.0,9.59111034842628,3.9306699947731993,2.9099080826705053,3.3168041869025555,18.0
19.0,119.36395442557009,12.61980138169852,38.53365109928913,57.866949243697015,51.66686668498938,28.24393183750846,9.188857018285523,18.714684124171885,67.69684670087572,0.8267282606485842,-1.2903750923954787,76.47509240370874,9.313871835714242,19.28046140473591,8.491138132422295,4.530497152768248,1.7328237225781657,0.30804303321385645,0.0,9.994918657639568,4.137232268059671,3.0013259552742344,3.326283402417247,19.0
20.0,112.72526637275146,12.686290976244416,36.7819910966113,55.46804555563751,48.14710186847377,27.15504564621478,9.257784502865654,17.561290893872716,64.57793635511494,0.765809656264211,-1.2186080522470037,70.83992046009448,8.50317145254315,17.98776742142415,8.225680045967714,4.50120529953843,1.594631863740626,0.3073673745616583,0.0,10.379184652653612,4.325679107130134,3.0836536995454398,3.3012523577945845,20.0
21.0,102.16522395948125,12.784269516611342,34.01438933435284,51.560341904539584,42.73351982779948,25.51004452760069,9.524691711157933,15.648654686481683,59.4314964403589,0.6675477719601283,-1.1044495043813622,61.750371886997506,7.227492862179212,15.84354791702194,7.758749703686009,4.4982232435878595,1.3406006053446753,0.30686476326568174,0.0,11.22379448041138,4.70625014551684,3.254343166983725,3.287906621795189,21.0
22.0,102.0472515163421,12.78199464544235,33.98467036878574,51.517185323418666,42.48534855870564,25.48739475389088,9.51339766227056,15.64197091450479,59.561695971550414,0.6802661097036669,-1.1031741721175445,62.92686010018095,7.444380304589424,16.117945821926355,7.965014856657207,4.525981539365357,1.4256551686754557,0.3069371718558631,0.0,10.969258837087123,4.565144307288326,3.1962624699567037,3.1999180431645224,22.0
23.0,98.09369907716443,12.810835253396057,32.98612479301469,50.00318111018686,40.46131594399124,24.883991651407086,9.66268006499239,14.889788110512354,57.632184089918326,0.6516995487542551,-1.0604345894810177,60.28435893958368,7.132742851091805,15.470603119094118,7.9096394884968895,4.556664485126056,1.3756451750154999,0.30705582288399086,0.0,11.189574879176686,4.624605916918135,3.2321416770411466,3.1460336071696138,23.0
24.0,94.36573295594847,12.832825352089694,32.08147125216669,48.53672799886051,38.62985499928035,24.314231620284314,9.83444349540717,14.14820953274591,55.73568644016598,0.6258391923467822,-1.0201336908448988,57.892190629886855,6.880350536375413,14.870971889615678,7.872088011261667,4.595436314971617,1.332440297539832,0.30734218273858466,0.0,11.405454212232627,4.662766974234324,3.2638571546728197,3.088663590333443,24.0
25.0,90.93016615422944,12.846334313686494,31.297216065027225,47.13794574696975,37.04530398124803,23.782827582317278,10.025107815770404,13.42549508152791,53.884677619085124,0.6027667249990767,-0.9829937531599138,55.757911258557414,6.689562909052376,14.32161404227156,7.848377070658959,4.640157542432043,1.2950924039671605,0.3077982803815609,0.0,11.61655105069937,4.678514349969794,3.2913850078516127,3.030286053817295,25.0
26.0,85.24135145481827,12.84423914630692,30.195934681347666,44.64266852376103,34.96235690182424,22.86724451494101,10.454941628654371,12.073869996354631,50.27882125311064,0.5565891722183691,-0.9214952477802955,51.48633523536538,6.355974430575061,13.202943474796019,7.693680406238047,4.722063589539795,1.1776968764541342,0.3091162241921902,0.0,12.213510191200603,4.750795493463882,3.381266352384406,2.972211387465512,26.0
27.0,85.16517717784032,12.842733456219825,30.176464170734512,44.61415231876066,34.79420427666574,22.85301732308436,10.447718166116267,12.069634812280988,50.37080006750984,0.565115831576887,-0.9206717714622845,52.275079364937085,6.495226103859725,13.38076558459691,7.8276504511126745,4.739339376859738,1.234162645388925,0.30919957312556,0.0,12.021800293809273,4.64594514312634,3.334200277009385,2.919524506850696,27.0
28.0,82.92987452714905,12.82325095402112,29.874610812651625,43.51859017589389,34.19873820644045,22.46123020739681,10.671754993275528,11.450803250034335,48.73096803163035,0.550523335414808,-0.8965071995167718,50.925225313110865,6.49034108945097,12.991132083784029,7.8236369354615585,4.789920548496694,1.2085739406374443,0.3101215118757863,0.0,12.212990714339448,4.602933867560229,3.3498689640924573,2.870944855018595,28.0
29.0,81.17011235476598,12.790958101840568,29.759966107265058,42.5491012362206,33.98596374371074,22.12175592516951,10.899085425768073,10.879958069972128,47.18398388698312,0.5386654161624513,-0.8774834223077248,49.82832864983692,6.543688770238845,12.655411993774493,7.819845253296656,4.8388371501323935,1.185050240324553,0.31117000534373873,0.0,12.39355330183232,4.547888377976573,3.362126911170616,2.828925024551287,29.0
30.0,79.90986047766923,12.745320849232394,29.837784144114522,41.713640500145026,34.16864655959583,21.837283966524726,11.126131804538074,10.363243886011656,45.741051721968894,0.5294456687654387,-0.863859563746937,48.97547158943807,6.651579948388006,12.372971277115163,7.813771659034485,4.884644481277002,1.1627926887778903,0.3123245507518944,0.0,12.560657316374584,4.485819064889332,3.371351922338805,2.7947174449711354,30.0
31.0,78.95009688244389,12.604065808662229,30.625396967328058,40.42780844293127,35.924266889751514,21.432580454699227,11.59106303590114,9.476964549153386,43.02566938210136,0.5125786533250376,-0.8534841112594027,47.41521699820455,6.947192197562532,11.834049597908574,7.700553328692086,4.954824949649242,1.0806245490922568,0.3149191449849952,0.0,13.018846328229225,4.4083128977017765,3.416227734086568,2.7832520001961316,31.0
32.0,78.90361646447852,12.603027326995905,30.613309976407848,40.40940633662467,35.81745994063895,21.42388630645873,11.586538121916423,9.47433976726026,43.08599620592139,0.5180189561865569,-0.8529816381810326,47.918462966489784,7.03123584530202,11.945219349089143,7.786059354845991,4.965345800886443,1.1176659147167602,0.3149830723857427,0.0,12.882349715829537,4.353901739316907,3.382893620928443,2.7515698673841533,32.0
33.0,79.24335777913825,12.50368784106185,31.334802519427328,39.96796078525005,37.33137006049765,21.307657084331403,11.812603027877337,9.12176415471054,41.91182656046628,0.515902994496689,-0.8566543862263226,47.72272952727191,7.2988361272103015,11.80440442393916,7.7607282033377984,4.997320019298634,1.0938375381423784,0.31643493319549754,0.0,13.034539941081382,4.293123173790702,3.3858515304843007,2.7455744520426872,33.0
34.0,80.14004530326969,12.384459754017152,32.259132922128266,39.68441144462676,39.26291364052712,21.254173651701088,12.021817704646587,8.846877977722917,40.87696847789175,0.5158550462171257,-0.8663479595698773,47.71829415317774,7.601010160373584,11.710728882926073,7.725632674996914,5.0206126069299355,1.0686889903867094,0.3179339542212291,0.0,13.180089255134494,4.244058650296917,3.3887225843376463,2.751124023859907,34.0
35.0,81.56652743233167,12.246371922180245,33.37036343909622,39.553071065524016,41.575942743059116,21.267307646600315,12.216203374484843,8.65163750727801,39.99041835498468,0.5179429854667814,-0.8817688378236773,47.911435424198835,7.9348097161600775,11.66585989180807,7.681563489883351,5.035664134333716,1.0427419742347392,0.3193995435907507,0.0,13.32177217046334,4.205565682455365,3.390497694327594,2.768617049720339,35.0
36.0,86.0612197945964,11.903252829441831,36.20259494976693,39.72370894600056,47.491309645502255,21.4980114844131,12.571048574954805,8.492113132904244,38.56973389742196,0.5247002410369392,-0.9303583730829429,48.53650386412116,8.648777712227554,11.637252267384628,7.506448278202621,5.033682670438986,0.9615693871638407,0.3221870771153373,0.0,13.671635553883014,4.185862575538746,3.413495560058708,2.8639392010252664,36.0
37.0,86.0346157188174,11.902538762731952,36.19551844299701,39.712148853120226,47.426285598735944,21.492867485641725,12.56828314247523,8.490542621311977,38.60815404414235,0.5280522226069659,-0.9300707717136131,48.846573221254566,8.696313366424242,11.70510710491565,7.5599085847815966,5.040078156211774,0.9852004544048503,0.32221622275622347,0.0,13.572912870705057,4.162168141588016,3.3927198185519214,2.843006267153513,37.0
38.0,89.02987147519518,11.695628403088172,37.88522657448583,39.992067415444815,50.907757834775644,21.705854285587947,12.72089718741247,8.530344649735452,38.12193106491927,0.5357250929955762,-0.9624507598095512,49.5563390535128,9.109664088371403,11.7833807637967,7.481101561983026,5.0281834387787105,0.9533053294758231,0.3234894965919992,0.0,13.679566958557464,4.158795122077748,3.3939383116869637,2.901424891207378,38.0
39.0,92.40074869627033,11.4710115723895,39.68998752575161,40.38240237732115,54.618547116625,21.97971306219958,12.853480431810315,8.649541713523242,37.78201169480875,0.5445139531696027,-0.9988913756263714,50.36933762381044,9.52491877154767,11.894278031728641,7.392587939265978,5.007198497456436,0.9203805703987937,0.3245742559106859,0.0,13.77762349571639,4.1669633597623355,3.3951116889649686,2.973209550265016,39.0
40.0,96.0683489527581,11.230146911472575,41.5834078378647,40.86208647362783,58.493323584735066,22.30478696563806,12.964617229578952,8.840241343888607,37.57482753555388,0.5542245982683198,-1.0385396936015112,51.26760434163306,9.933412591101304,12.029478580923492,7.2950268613650175,4.977551740921409,0.8862847398430052,0.3254651243488215,0.0,13.86145525775025,4.186215709505166,3.396829396947219,3.057533219482138,40.0
41.0,104.28996194650304,10.699113705705615,45.67315905507949,42.055241621174815,66.81566762382981,23.109261381803634,13.131071893145865,9.427640351192627,37.47407861411362,0.5742543130664025,-1.1274188253083848,53.12041906070605,10.708315502773763,12.318853342484363,7.036761631711367,4.887818725281959,0.7991128150485844,0.32663012236042016,0.0,14.027127514230873,4.265204834807942,3.413892547623549,3.284076197445866,41.0
42.0,104.27702016663378,10.698660626963092,45.66911925298881,42.04806788805539,66.77794612806031,23.106336734037214,13.129385995587254,9.426759492037437,37.49885842705693,0.5762198619974311,-1.1272789191660746,53.30223882335273,10.733746043195861,12.35991235674943,7.069585306401414,4.891849761621789,0.8136169574116114,0.32661700461385446,0.0,13.957159694630413,4.254723287583139,3.4019713630974113,3.268414727680666,42.0
43.0,108.69387802112139,10.410387141906112,47.81523343958427,42.71935524221331,71.08430691907435,23.570093391216783,13.182162252253798,9.811456067300343,37.60934591856551,0.5878939259887991,-1.1750270303065786,54.382128268242724,11.114191474013118,12.545684722719983,6.9431794427836016,4.836321752507426,0.7757277749595299,0.32680449823519825,0.0,13.966599265688282,4.302178305222154,3.4051035225561996,3.394711829854027,43.0
44.0,113.14206771478226,10.118342328959905,49.95380396370514,43.4042576361742,75.3439220067168,24.054932821800527,13.2142819280739,10.23832751197498,37.79791087948603,0.5994991666674951,-1.2231138519486124,55.45565132958611,11.467501812810266,12.735169775973285,6.811588858975487,4.774069550173897,0.7382705795399565,0.3266887106896897,0.0,13.93519267797211,4.3561191250828575,3.408219788169807,3.53147163163024,44.0
45.0,117.5573989367827,9.827091362481102,52.06307115179522,44.08561797514124,79.50736913896598,24.549887566825458,13.226906537132884,10.695873261067513,38.04978539217934,0.6109256995136505,-1.2708454595429146,56.51264332666409,11.791590329926784,12.924515251195636,6.675881655340834,4.705888665022286,0.7016510729347085,0.3262633181532112,0.0,13.84953899788898,4.415271366718054,3.4110074628186084,3.677400055045175,45.0
46.0,125.2082747840823,9.316566401585401,55.7052027761552,45.25451138489123,86.60866220862881,25.42934990416571,13.206180804731199,11.556479396489406,38.59935152168894,0.629188790516765,-1.353554680059914,58.2020395146507,12.275031228891926,13.21844967978815,6.40037287404291,4.567653757656754,0.6290676985723265,0.32473822000588715,0.0,13.60984377270816,4.538090513777352,3.4235869168597173,3.9731044432264158,46.0
47.0,125.2000831873133,9.316182872219743,55.70166033006205,45.248457245530126,86.57799319554174,25.427321338513703,13.204775524792725,11.555902399905742,38.62182900993347,0.6307372889247915,-1.3534661254163574,58.345280727607324,12.293322280790472,13.252922462428481,6.425716093973749,4.57124937559389,0.639578612467753,0.3246814880701496,0.0,13.548212273681662,4.5310501960158795,3.4142248529566017,3.957118703448522,47.0
