Quantities,Iteration,03_Downforce Monitor: 03_Downforce Monitor (N),03_Downforce_Diffusor Monitor: 03_Downforce_Diffusor Monitor (N),03_Downforce_Frontfluegel Monitor: 03_Downforce_Frontfluegel Monitor (N),03_Downforce_Heckfluegel Monitor: 03_Downforce_Heckfluegel Monitor (N),03_Downforce_HI Monitor: 03_Downforce_HI Monitor (N),03_Downforce_Seitenkasten Monitor: 03_Downforce_Seitenkasten Monitor (N),03_Downforce_Seitenkasten_Flap Monitor: 03_Downforce_Seitenkasten_Flap Monitor (N),03_Downforce_Seitenkasten_Main Monitor: 03_Downforce_Seitenkasten_Main Monitor (N),03_Downforce_VO Monitor: 03_Downforce_VO Monitor (N),04_Cx Monitor: 04_Cx Monitor,04_Cz Monitor: 04_Cz Monitor,04_Luftwiderstand Monitor: 04_Luftwiderstand Monitor (N),04_Luftwiderstand_Frontfluegel Monitor: 04_Luftwiderstand_Frontfluegel Monitor (N),04_Luftwiderstand_Heckfluegel Monitor: 04_Luftwiderstand_Heckfluegel Monitor (N),04_Luftwiderstand_Seitenkasten Monitor: 04_Luftwiderstand_Seitenkasten Monitor (N),04_Luftwiderstand_Seitenkasten_Flap Monitor: 04_Luftwiderstand_Seitenkasten_Flap Monitor (N),04_Luftwiderstand_Seitenkasten_Main Monitor: 04_Luftwiderstand_Seitenkasten_Main Monitor (N),05_Massflow_KM Monitor: 05_Massflow_KM Monitor (kg/s),06_Effizienz Monitor: 06_Effizienz Monitor,06_Effizienz_Diffusor Monitor: 06_Effizienz_Diffusor Monitor,06_Effizienz_Frontfluegel Monitor: 06_Effizienz_Frontfluegel Monitor,06_Effizienz_Heckfluegel Monitor: 06_Effizienz_Heckfluegel Monitor,06_Effizienz_Seitenkasten Monitor: 06_Effizienz_Seitenkasten Monitor,Iteration: Iteration 2
count,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0
mean,1488.0,1.21851942839806e+16,7419983635328778.0,6557743763852220.0,5676429138925566.0,9874870114934246.0,1.1370521655298434e+16,1.124695179378887e+16,7416476076719700.0,2.408174782063208e+16,0.975405537064452,-1.5147294795804802e+16,8698015270078362.0,1.01106458645707e+16,1.6917933168422144e+16,9017501930772940.0,1.4585699188963456e+16,0.5876909486551167,0.25066698351441596,0.0,9810863293966688.0,1.178830837202535e+16,1.972374784461321e+16,6939481650772535.0,1488.0
std,7.359800721939872,6853338032780642.0,3712911996625354.5,2579826737500636.0,2233160370148230.0,2651641497285784.5,8126286501098725.0,1.7745592424185776e+16,4545579622145518.0,2.5437508558683364e+16,4.916983401859587e-05,5959003246085458.0,1624119075016005.5,5574752884353269.0,9514835511418458.0,1.2929822084230208e+16,1.3405160228456664e+16,0.0029083528807570835,0.00023413378983533524,0.0,1.3955612482850716e+16,1.6916900311032478e+16,1.2864481346552938e+16,1.0347282722322218e+16,7.359800721939872
min,1476.0,163632791181041.0,945437902801802.0,765922780745037.0,661927221670204.0,1064144444118580.0,178802895394579.0,695717192356282.0,104737756975836.0,573398376608326.0,0.975298442566458,-1.76987828225047e+16,902244006297825.0,1351527653171180.0,227125674210064.0,4317693368274010.0,2930435350860970.0,0.5829975404364389,0.2502552916885549,0.0,761629449146814.0,5667245831389180.0,2915930663760440.0,410514922908549.0,1476.0
25%,1482.0,1637194923487190.0,9455204134022100.0,7658965905200070.0,6622518888307130.0,1.06358327776767e+16,1787735282353200.0,6961324302868130.0,1047287699533860.0,5722344994078770.0,0.9753754288095722,-1.76984441536564e+16,9022544601051890.0,1351981397572020.0,2275427585532260.0,4328316662611170.0,2943846969084450.0,0.5853179794186393,0.2504791296269482,0.0,7615728689013640.0,5667465425307700.0,2918588628304080.0,4110260352443610.0,1482.0
50%,1488.0,1.63689251124404e+16,9461071654261570.0,7660900307185330.0,6629797798109870.0,1.06414580174599e+16,1.78550335160824e+16,6970268057256380.0,1.04678682716951e+16,5732969930262500.0,0.9754249435693948,-1.7695503936702e+16,9023002628920660.0,1.35152443432889e+16,2.27178945649915e+16,4345777943164930.0,2953989117339140.0,0.5877739370099732,0.25070270302521824,0.0,7617346132084420.0,5667587958858710.0,2.9167344218421e+16,4119676743528140.0,1488.0
75%,1494.0,1.63712351444475e+16,9468291254678000.0,7661725129698200.0,6635491255414830.0,1.06447657120708e+16,1.78692887864075e+16,6987962866422260.0,1.04728795495166e+16,5.72668501953424e+16,0.975446214959168,-1.76903336794911e+16,9023199396295860.0,1.35185789119742e+16,2.2735274135809e+16,4355474323661500.0,2.93718922972523e+16,0.5900639114631505,0.25086669530598465,0.0,7617603659073740.0,5667696407680470.0,2.91827765258992e+16,4130409302031350.0,1494.0
max,1500.0,1.63719581900147e+16,9472579585935710.0,7662382228264180.0,6641310972159930.0,1.06468972896562e+16,1.78803273608827e+16,6.98372860693603e+16,1.04743888220215e+16,5.73899218875512e+16,0.975456122948698,-1768940037679690.0,9023291048468750.0,1.35204691242164e+16,2.27513277537143e+16,4.34186746930343e+16,2.95290134495294e+16,0.5920201613653121,0.2509652169423096,0.0,7.61775909844405e+16,5.66754756152424e+16,2.9187617658491e+16,4.12534472275656e+16,1500.0
