Quantities,Iteration,03_Downforce Monitor: 03_Downforce Monitor (N),03_Downforce_Diffusor Monitor: 03_Downforce_Diffusor Monitor (N),03_Downforce_Frontfluegel Monitor: 03_Downforce_Frontfluegel Monitor (N),03_Downforce_Heckfluegel Monitor: 03_Downforce_Heckfluegel Monitor (N),03_Downforce_HI Monitor: 03_Downforce_HI Monitor (N),03_Downforce_Seitenkasten Monitor: 03_Downforce_Seitenkasten Monitor (N),03_Downforce_Seitenkasten_Flap Monitor: 03_Downforce_Seitenkasten_Flap Monitor (N),03_Downforce_Seitenkasten_Main Monitor: 03_Downforce_Seitenkasten_Main Monitor (N),03_Downforce_VO Monitor: 03_Downforce_VO Monitor (N),04_Cx Monitor: 04_Cx Monitor,04_Cz Monitor: 04_Cz Monitor,04_Luftwiderstand Monitor: 04_Luftwiderstand Monitor (N),04_Luftwiderstand_Frontfluegel Monitor: 04_Luftwiderstand_Frontfluegel Monitor (N),04_Luftwiderstand_Heckfluegel Monitor: 04_Luftwiderstand_Heckfluegel Monitor (N),04_Luftwiderstand_Seitenkasten Monitor: 04_Luftwiderstand_Seitenkasten Monitor (N),04_Luftwiderstand_Seitenkasten_Flap Monitor: 04_Luftwiderstand_Seitenkasten_Flap Monitor (N),04_Luftwiderstand_Seitenkasten_Main Monitor: 04_Luftwiderstand_Seitenkasten_Main Monitor (N),05_Massflow_KM Monitor: 05_Massflow_KM Monitor (kg/s),06_Effizienz Monitor: 06_Effizienz Monitor,06_Effizienz_Diffusor Monitor: 06_Effizienz_Diffusor Monitor,06_Effizienz_Frontfluegel Monitor: 06_Effizienz_Frontfluegel Monitor,06_Effizienz_Heckfluegel Monitor: 06_Effizienz_Heckfluegel Monitor,06_Effizienz_Seitenkasten Monitor: 06_Effizienz_Seitenkasten Monitor,Iteration: Iteration 2
count,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
mean,1475.5,1.5176869354788736e+16,7512709725665999.0,7016004600065435.0,5728781022494968.0,9293553965456232.0,1.6845846628694118e+16,1.1747027191180844e+16,1.2595251475313438e+16,2.1050361259265092e+16,0.9778323948978398,-1.464894317651916e+16,7417973437083956.0,1.2115117479497918e+16,1.520104916403445e+16,8570173359881692.0,1.7888155936088902e+16,0.8620345034926828,0.24882215847625663,0.0,1.3538287475048622e+16,1.2421676345594826e+16,1.6453584789723654e+16,6764187056350546.0,1475.5
std,14.577379737113251,5477998489241128.0,3174808233189461.5,2102822684462722.2,2102896865401083.0,4174146140339623.0,1.1391803662121412e+16,1.7989417864417246e+16,8024701832985964.0,2.4628245301058584e+16,0.0011682621872540608,7415995377614369.0,3290040111015298.5,4012376729324309.5,9982787389225858.0,1.3075404138561986e+16,1.2764444450214934e+16,0.010026685094487625,0.00044594151803620144,0.0,1.967668731679244e+16,1.813156595943514e+16,1.3259413495503532e+16,7671789986801482.0,14.577379737113251
min,1451.0,1733723094054190.0,89660426679725.0,769963676276446.0,65797729453246.0,113250229271034.0,257304139303207.0,65496451463634.0,183759529150732.0,598462803197901.0,0.9762033216339084,-1.88043134227966e+16,903098252435137.0,1357639216258980.0,225730619598744.0,433192309309709.0,28151564129235.0,0.8486472350937228,0.2480705783413269,0.0,796467881405946.0,567444640787982.0,290748604853625.0,593045474917236.0,1451.0
25%,1463.25,1.7338793297049276e+16,8973463651366900.0,7702232502585115.0,6552955384983155.0,1.1302376200879676e+16,2571961191018997.5,6460108164695703.0,1836667286024250.0,5993596033123100.0,0.9768724919520834,-1.879027546805e+16,9032542115477378.0,1.35618869626889e+16,2260491275860030.0,4326373410586287.5,2824130116147245.0,0.851721297920224,0.2484291803018996,0.0,7944807563075120.0,5675240522718990.0,2906689528698135.0,5868116868388550.0,1463.25
50%,1475.5,1.73523838503324e+16,8981359097068910.0,7708230467861275.0,6562995245159665.0,1.133539139893045e+16,2.56187018533583e+16,6481228681544095.0,1.821159862636355e+16,6011612545321285.0,0.977569414025906,-1.874913960956095e+16,9040882887683844.0,1.357955077640165e+16,2.25761728034661e+16,4339800689231605.0,2.80799495614528e+16,0.8623098107145037,0.24886480512710102,0.0,7968721444838320.0,5675844879290930.0,2.9014825733664e+16,5912148134954090.0,1475.5
75%,1487.75,1.7384890830759876e+16,8992304548473443.0,7716092999262430.0,6575379841552420.0,1.1393220722678024e+16,2.569013059393665e+16,6564501130913082.0,1.8339294174592576e+16,5.98592180316696e+16,0.9786522544473553,-1.874238244482705e+16,9050697347446890.0,1.3595479623841176e+16,2.2611066215481748e+16,4372518805442437.5,2.817168887072873e+16,0.8721012193401005,0.24925210385568802,0.0,7978486512895572.0,5677620930266440.0,2.906834728711313e+16,5937586954305775.0,1487.75
max,1500.0,1.73946104790041e+16,8996617648602410.0,7718722414299140.0,6591342042705320.0,1.14092271667095e+16,2.57312605128525e+16,6.53322493986861e+16,1.83992885801833e+16,6.03913026598338e+16,0.9803147494433969,-187426737073692.0,9068234946944620.0,1.35997737030124e+16,2.2677694013693e+16,4.38130093209911e+16,2.84327815683191e+16,0.8751639736736585,0.2493924206775903,0.0,7.97369463118636e+16,5.68048209616189e+16,2.90747667908243e+16,5.94251204593896e+16,1500.0
