Quantities,Iteration,03_Downforce Monitor: 03_Downforce Monitor (N),03_Downforce_Diffusor Monitor: 03_Downforce_Diffusor Monitor (N),03_Downforce_Frontfluegel Monitor: 03_Downforce_Frontfluegel Monitor (N),03_Downforce_Heckfluegel Monitor: 03_Downforce_Heckfluegel Monitor (N),03_Downforce_HI Monitor: 03_Downforce_HI Monitor (N),03_Downforce_Seitenkasten Monitor: 03_Downforce_Seitenkasten Monitor (N),03_Downforce_Seitenkasten_Flap Monitor: 03_Downforce_Seitenkasten_Flap Monitor (N),03_Downforce_Seitenkasten_Main Monitor: 03_Downforce_Seitenkasten_Main Monitor (N),03_Downforce_VO Monitor: 03_Downforce_VO Monitor (N),04_Cx Monitor: 04_Cx Monitor,04_Cz Monitor: 04_Cz Monitor,04_Luftwiderstand Monitor: 04_Luftwiderstand Monitor (N),04_Luftwiderstand_Frontfluegel Monitor: 04_Luftwiderstand_Frontfluegel Monitor (N),04_Luftwiderstand_Heckfluegel Monitor: 04_Luftwiderstand_Heckfluegel Monitor (N),04_Luftwiderstand_Seitenkasten Monitor: 04_Luftwiderstand_Seitenkasten Monitor (N),04_Luftwiderstand_Seitenkasten_Flap Monitor: 04_Luftwiderstand_Seitenkasten_Flap Monitor (N),04_Luftwiderstand_Seitenkasten_Main Monitor: 04_Luftwiderstand_Seitenkasten_Main Monitor (N),05_Massflow_KM Monitor: 05_Massflow_KM Monitor (kg/s),06_Effizienz Monitor: 06_Effizienz Monitor,06_Effizienz_Diffusor Monitor: 06_Effizienz_Diffusor Monitor,06_Effizienz_Frontfluegel Monitor: 06_Effizienz_Frontfluegel Monitor,06_Effizienz_Heckfluegel Monitor: 06_Effizienz_Heckfluegel Monitor,06_Effizienz_Seitenkasten Monitor: 06_Effizienz_Seitenkasten Monitor,Iteration: Iteration 2
count,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
mean,1475.5,1538585781.6,8744484126.58,6943690707.78,6275885513.92,1021281310.02,1658359855.08,0.0,0.0,5930140042.9,0.9770868358799999,-1596012182.68,0.0,0.0,0.0,0.0,0.0,0.0,0.25598861934,0.0,0.0,0.0,0.0,0.0,1475.5
std,14.577379737113251,519524365.283144,2681045948.4349527,2133744406.2385375,2554672442.873814,188757060.6207024,497010456.95834845,0.0,0.0,2081456998.5251234,0.0006054072587549259,630903173.866533,0.0,0.0,0.0,0.0,0.0,0.0,0.0008726155587738472,0.0,0.0,0.0,0.0,0.0,14.577379737113251
min,1451.0,17308314.0,96292807.0,7651026.0,73734801.0,105865138.0,181957774.0,0.0,0.0,6693038.0,0.976266368,-1871102326.0,0.0,0.0,0.0,0.0,0.0,0.0,0.254490197,0.0,0.0,0.0,0.0,0.0,1451.0
25%,1463.25,1727352408.25,9618954239.0,7645004264.25,7373988337.75,1058714955.75,1820349786.25,0.0,0.0,6686035393.75,0.97654419075,-1869062433.5,0.0,0.0,0.0,0.0,0.0,0.0,0.2552503385,0.0,0.0,0.0,0.0,0.0,1463.25
50%,1475.5,1727735442.5,9621730904.0,7645713470.5,7376449361.5,1058956168.0,1821703656.0,0.0,0.0,6690318856.0,0.9769949465000001,-1867595877.5,0.0,0.0,0.0,0.0,0.0,0.0,0.2560369725,0.0,0.0,0.0,0.0,0.0,1475.5
75%,1487.75,1728944192.75,9634599122.25,7647766331.75,7380230037.25,1059909170.75,1823617697.25,0.0,0.0,6692694532.5,0.97760522425,-1867334421.75,0.0,0.0,0.0,0.0,0.0,0.0,0.2567849985,0.0,0.0,0.0,0.0,0.0,1487.75
max,1500.0,1730830515.0,9652373764.0,7653338635.0,7384555087.0,1061549338.0,1826380682.0,0.0,0.0,6693055148.0,0.9781576740000001,-18673809.0,0.0,0.0,0.0,0.0,0.0,0.0,0.257234053,0.0,0.0,0.0,0.0,0.0,1500.0
