Quantities,Iteration,03_Downforce Monitor: 03_Downforce Monitor (N),03_Downforce_Diffusor Monitor: 03_Downforce_Diffusor Monitor (N),03_Downforce_Frontfluegel Monitor: 03_Downforce_Frontfluegel Monitor (N),03_Downforce_Heckfluegel Monitor: 03_Downforce_Heckfluegel Monitor (N),03_Downforce_HI Monitor: 03_Downforce_HI Monitor (N),03_Downforce_Seitenkasten Monitor: 03_Downforce_Seitenkasten Monitor (N),03_Downforce_Seitenkasten_Flap Monitor: 03_Downforce_Seitenkasten_Flap Monitor (N),03_Downforce_Seitenkasten_Main Monitor: 03_Downforce_Seitenkasten_Main Monitor (N),03_Downforce_VO Monitor: 03_Downforce_VO Monitor (N),04_Cx Monitor: 04_Cx Monitor,04_Cz Monitor: 04_Cz Monitor,04_Luftwiderstand Monitor: 04_Luftwiderstand Monitor (N),04_Luftwiderstand_Frontfluegel Monitor: 04_Luftwiderstand_Frontfluegel Monitor (N),04_Luftwiderstand_Heckfluegel Monitor: 04_Luftwiderstand_Heckfluegel Monitor (N),04_Luftwiderstand_Seitenkasten Monitor: 04_Luftwiderstand_Seitenkasten Monitor (N),04_Luftwiderstand_Seitenkasten_Flap Monitor: 04_Luftwiderstand_Seitenkasten_Flap Monitor (N),04_Luftwiderstand_Seitenkasten_Main Monitor: 04_Luftwiderstand_Seitenkasten_Main Monitor (N),05_Massflow_KM Monitor: 05_Massflow_KM Monitor (kg/s),06_Effizienz Monitor: 06_Effizienz Monitor,06_Effizienz_Diffusor Monitor: 06_Effizienz_Diffusor Monitor,06_Effizienz_Frontfluegel Monitor: 06_Effizienz_Frontfluegel Monitor,06_Effizienz_Heckfluegel Monitor: 06_Effizienz_Heckfluegel Monitor,06_Effizienz_Seitenkasten Monitor: 06_Effizienz_Seitenkasten Monitor,Iteration: Iteration 2
count,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0
mean,1488.0,1.1584750067739258e+16,7853971945420622.0,6269808762847194.0,5479567789529672.0,9077947657081292.0,1.0784183859771696e+16,1.577640357111576e+16,9895785666926040.0,1.7950302077142406e+16,0.9726274960650106,-1.3793592128395298e+16,7377641441631836.0,1.104121311802701e+16,1.2700407958769168e+16,6641554076500247.0,1.8166254766896772e+16,0.5987989988381157,0.23175335448144363,0.0,1.444416245598472e+16,9153728762384986.0,1.2131980681243746e+16,8880346491794161.0,1488.0
std,7.359800721939872,7101084569678719.0,3183826001991786.0,2809326883334849.0,2525026295721981.5,3571352422886576.0,8141127059705007.0,2.2706501914875956e+16,2657166322816895.0,2.26828044215443e+16,4.9423274474679494e-05,7055724079660301.0,3305753907172301.0,4947296243729824.0,1.057969125478246e+16,1.016667797931458e+16,1.277063401619491e+16,0.002777368276388977,1.8241474492856895e-05,0.0,2.2935054230836388e+16,1.4433862600898892e+16,1.3440462388085592e+16,1.3354723223828096e+16,7.359800721939872
min,1476.0,163707322364434.0,92169733451828.0,764619698622623.0,670059718168.0,1059789927083880.0,1783891541865430.0,665561826155049.0,1065194670758780.0,574842211817201.0,0.972570486700716,-1.7702433222461e+16,899662090498924.0,1346293272855940.0,226483875002786.0,403189529824966.0,2836277839994690.0,0.5938487061210058,0.2317370860040673,0.0,74885620102971.0,567913442295239.0,29650589893401.0,442686507997504.0,1476.0
25%,1482.0,1634771779452660.0,9210769357576310.0,7645077738507670.0,6698650446057900.0,1.05948807090108e+16,1784600403675960.0,6656161332662520.0,1.06461502267778e+16,5739228167683240.0,0.9725789666177244,-1.76848589768261e+16,8996599142666290.0,1.34611979264663e+16,2263788546413750.0,4028092997671210.0,2843609962680830.0,0.5966572940187083,0.2317399109955101,0.0,7480710594730050.0,5678046467158690.0,2963872566173340.0,4417685311205830.0,1482.0
50%,1488.0,1.63371593968682e+16,9213611588074040.0,7645503659947750.0,6712256021250500.0,1.06026827072996e+16,1.78397289048023e+16,6661414886417920.0,1.06519355803135e+16,5751800832566150.0,0.9726137753152132,-1.76656021997063e+16,8996800112541320.0,1.34636095695677e+16,2.25991798700213e+16,4033695165230290.0,2.83635798577044e+16,0.5992852603217144,0.23174712362229746,0.0,7486230115741900.0,5678474330553800.0,2966157383700560.0,4425381461300270.0,1488.0
75%,1494.0,1.63614043651515e+16,9215290983516060.0,7646613020962260.0,6721378917813890.0,1.06107911655015e+16,1.78523843483009e+16,6677112710514000.0,1.0672220023098e+16,5759272831068250.0,0.9726701640356596,-1.76506708986394e+16,8997376826259380.0,1.34666606326497e+16,2.26379637743657e+16,4040791783010630.0,2.83758750082108e+16,0.6012912115630776,0.23176026941168565,0.0,7491307302325710.0,5678928814469260.0,2.96286342427189e+16,4439075227373000.0,1494.0
max,1500.0,1.63776108610355e+16,9217263264817210.0,7647690102551220.0,6725592275857320.0,1.06183043999683e+16,1.78853557460648e+16,6.6690028758885e+16,1.07091545679408e+16,5.75616751213312e+16,0.9727259777682252,-177048936001896.0,8998036304571600.0,1.34696385705001e+16,2.27129149863207e+16,4.02637771999967e+16,2.84444246104152e+16,0.6023712303032109,0.2317948764813468,0.0,7.4912271404614e+16,5.6788617589826e+16,2.96612597765297e+16,4.42267652215703e+16,1500.0
