Quantities,Iteration,03_Downforce Monitor: 03_Downforce Monitor (N),03_Downforce_Diffusor Monitor: 03_Downforce_Diffusor Monitor (N),03_Downforce_Frontfluegel Monitor: 03_Downforce_Frontfluegel Monitor (N),03_Downforce_Heckfluegel Monitor: 03_Downforce_Heckfluegel Monitor (N),03_Downforce_HI Monitor: 03_Downforce_HI Monitor (N),03_Downforce_Seitenkasten Monitor: 03_Downforce_Seitenkasten Monitor (N),03_Downforce_Seitenkasten_Flap Monitor: 03_Downforce_Seitenkasten_Flap Monitor (N),03_Downforce_Seitenkasten_Main Monitor: 03_Downforce_Seitenkasten_Main Monitor (N),03_Downforce_VO Monitor: 03_Downforce_VO Monitor (N),04_Cx Monitor: 04_Cx Monitor,04_Cz Monitor: 04_Cz Monitor,04_Luftwiderstand Monitor: 04_Luftwiderstand Monitor (N),04_Luftwiderstand_Frontfluegel Monitor: 04_Luftwiderstand_Frontfluegel Monitor (N),04_Luftwiderstand_Heckfluegel Monitor: 04_Luftwiderstand_Heckfluegel Monitor (N),04_Luftwiderstand_Seitenkasten Monitor: 04_Luftwiderstand_Seitenkasten Monitor (N),04_Luftwiderstand_Seitenkasten_Flap Monitor: 04_Luftwiderstand_Seitenkasten_Flap Monitor (N),04_Luftwiderstand_Seitenkasten_Main Monitor: 04_Luftwiderstand_Seitenkasten_Main Monitor (N),05_Massflow_KM Monitor: 05_Massflow_KM Monitor (kg/s),06_Effizienz Monitor: 06_Effizienz Monitor,06_Effizienz_Diffusor Monitor: 06_Effizienz_Diffusor Monitor,06_Effizienz_Frontfluegel Monitor: 06_Effizienz_Frontfluegel Monitor,06_Effizienz_Heckfluegel Monitor: 06_Effizienz_Heckfluegel Monitor,06_Effizienz_Seitenkasten Monitor: 06_Effizienz_Seitenkasten Monitor,Iteration: Iteration 2
count,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
mean,1475.5,1.109116589468947e+16,8170865234625793.0,5667303405996248.0,5955100246172746.0,9119704616212264.0,1.1057982291137452e+16,1.13309776063422e+16,8370162927031821.0,1.569038653647389e+16,0.9741688867125755,-1.4228394125079512e+16,7859808434879907.0,1.096823964370761e+16,1.4437215286171256e+16,9194246246336840.0,1.6930339043645008e+16,0.6973911309781368,0.18317956965304164,0.0,1.4703861064395092e+16,1.0340595706409468e+16,1.5594345606598772e+16,5073163264344767.0,1475.5
std,14.577379737113251,7222363847366248.0,3670006707142356.5,3158008970190274.0,1972388028065608.0,3550931584054668.5,8041897532629983.0,1.693102352144229e+16,3931148591943650.5,2.1394682198781236e+16,0.00014236859572465724,6760660239249372.0,2885382684635187.5,4988195564671649.0,1.0129848055266484e+16,1.3723831348315722e+16,1.24220717385286e+16,0.005631029388346407,0.0001943095021218828,0.0,2.136193904668213e+16,1.5671041062781352e+16,1.3517656717206536e+16,7679391425794910.0,14.577379737113251
min,1451.0,164620493954198.0,99917985615793.0,7614402601951.0,667448019433428.0,1063298152434760.0,177705294044477.0,678745660617433.0,1027591185644690.0,57987887842472.0,0.9739321580033956,-1.78060099910645e+16,90112162894573.0,134382150852527.0,226151785522941.0,427037712042856.0,2743644060208.0,0.6892795879203699,0.18298080585314225,0.0,781877798931002.0,56668491541244.0,295047076643034.0,416133910441948.0,1451.0
25%,1463.25,1644971463677992.5,9967304059481770.0,761675599215862.5,6675065763604918.0,1.0637310593441476e+16,1788915372069307.5,6791420281369434.0,1.0251883113366976e+16,5790999450762918.0,0.9740301851287179,-1.7792285948208048e+16,9009861545193486.0,1.3432503622089424e+16,2262697016816510.0,4270445183983562.5,2740027913861052.5,0.6917711513532411,0.1830130108026178,0.0,7813034249195007.0,5667629036212698.0,2950913382415507.5,4141512742120737.5,1463.25
50%,1475.5,1.643432307896025e+16,9986813944021984.0,7614502010502920.0,6675840589210385.0,1.06503046765055e+16,1.770342234358335e+16,6808296241595970.0,1.04032183865903e+16,5797577908753580.0,0.9741707673942452,-1.77727193476622e+16,9011213178635936.0,1.343297402927835e+16,2.26070787549369e+16,4271101102873845.0,2.73356334667553e+16,0.6978191528503334,0.18311624895679696,0.0,7822768252161965.0,5668419611668710.0,2952693097789550.0,4175317769687710.0,1475.5
75%,1487.75,1.645933430375305e+16,9993624132883930.0,7615300168684704.0,6676686587779594.0,1.0661601654172924e+16,1.786727508621015e+16,6821753992644045.0,1.05135189598141e+16,5798729166863510.0,0.9743098541519439,-1.77501510257981e+16,9012623395425920.0,1.343508010996635e+16,2.262972605134765e+16,4274026257877082.5,2.7377190039782476e+16,0.7029358464792579,0.18330556827250094,0.0,7828405562640102.0,5668588205202755.0,2.950872041868785e+16,4191530553203605.0,1487.75
max,1500.0,1.64716757309823e+16,9995794681988630.0,7617053229473680.0,6678384616085110.0,1.06741327717664e+16,1.79287376416489e+16,6.80504761474201e+16,1.05529894393109e+16,5.79872719612053e+16,0.9743608376929108,-177560528596143.0,9013159298396600.0,1.34422574595468e+16,2.26324024974259e+16,4.27678243457815e+16,2.7466734995569e+16,0.7047454339180735,0.18362765196546585,0.0,7.82444063883347e+16,5.66850369118602e+16,2.95273687914683e+16,4.19203624617669e+16,1500.0
