Quantities,Iteration,03_Downforce Monitor: 03_Downforce Monitor (N),03_Downforce_Diffusor Monitor: 03_Downforce_Diffusor Monitor (N),03_Downforce_Frontfluegel Monitor: 03_Downforce_Frontfluegel Monitor (N),03_Downforce_Heckfluegel Monitor: 03_Downforce_Heckfluegel Monitor (N),03_Downforce_HI Monitor: 03_Downforce_HI Monitor (N),03_Downforce_Seitenkasten Monitor: 03_Downforce_Seitenkasten Monitor (N),03_Downforce_Seitenkasten_Flap Monitor: 03_Downforce_Seitenkasten_Flap Monitor (N),03_Downforce_Seitenkasten_Main Monitor: 03_Downforce_Seitenkasten_Main Monitor (N),03_Downforce_VO Monitor: 03_Downforce_VO Monitor (N),04_Cx Monitor: 04_Cx Monitor,04_Cz Monitor: 04_Cz Monitor,04_Luftwiderstand Monitor: 04_Luftwiderstand Monitor (N),04_Luftwiderstand_Frontfluegel Monitor: 04_Luftwiderstand_Frontfluegel Monitor (N),04_Luftwiderstand_Heckfluegel Monitor: 04_Luftwiderstand_Heckfluegel Monitor (N),04_Luftwiderstand_Seitenkasten Monitor: 04_Luftwiderstand_Seitenkasten Monitor (N),04_Luftwiderstand_Seitenkasten_Flap Monitor: 04_Luftwiderstand_Seitenkasten_Flap Monitor (N),04_Luftwiderstand_Seitenkasten_Main Monitor: 04_Luftwiderstand_Seitenkasten_Main Monitor (N),05_Massflow_KM Monitor: 05_Massflow_KM Monitor (kg/s),06_Effizienz Monitor: 06_Effizienz Monitor,06_Effizienz_Diffusor Monitor: 06_Effizienz_Diffusor Monitor,06_Effizienz_Frontfluegel Monitor: 06_Effizienz_Frontfluegel Monitor,06_Effizienz_Heckfluegel Monitor: 06_Effizienz_Heckfluegel Monitor,06_Effizienz_Seitenkasten Monitor: 06_Effizienz_Seitenkasten Monitor,Iteration: Iteration 2
count,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0
mean,1488.0,1.284758294686676e+16,7834732084213770.0,6217372564943598.0,5473640752943560.0,9512513144323400.0,1.1458160012554858e+16,1.363940686822892e+16,8627854122917231.0,1.370954012932878e+16,0.974167737900659,-1.3312217825744422e+16,7681352011207316.0,9954365171602770.0,1.276152163577782e+16,9967126234865352.0,1.9473002590064096e+16,0.7024355754828457,0.18333601047801956,0.0,1.876463960681882e+16,1.1359876648172038e+16,1.559868784700908e+16,5095593193460455.0,1488.0
std,7.359800721939872,6571849125293597.0,3920423575939237.5,2856846537714353.0,2452617682066314.5,3183183202151953.0,8056341938670583.0,2.0528754215789796e+16,3865622204977894.0,1.9778847167265364e+16,0.00015281432792472563,7340140413689964.0,3113780688888110.0,5708061892233292.0,1.0470163585905284e+16,1.4654312168011658e+16,1.1719428071741908e+16,0.0021768077403803063,0.00015665626370124546,0.0,2.643816697256217e+16,1.7141866961986026e+16,1.3661560164290442e+16,7799479775002399.0,7.359800721939872
min,1476.0,164620493954198.0,998748811407344.0,76149304783387.0,667448019433428.0,1066480684376650.0,1787963192516080.0,678745660617433.0,1047388993175140.0,57987887842472.0,0.9739321580033956,-1.78060099910645e+16,90112162894573.0,134382150852527.0,226151785522941.0,427198223994006.0,2733387713796170.0,0.6983323812966904,0.1831277775770984,0.0,781877798931002.0,56668491541244.0,295272578157497.0,418573590110041.0,1476.0
25%,1482.0,1.6452770613387e+16,9986579738154830.0,7614692424907770.0,6674171933887490.0,1.06571974807881e+16,1791806473621120.0,6788394697786970.0,1.04808187646617e+16,5797646696558650.0,0.9740333824599672,-1.78013045178533e+16,9009621049433150.0,1343738367130490.0,2261189854876620.0,4271429947201740.0,2735867507267570.0,0.7008778426241217,0.18320002101376012,0.0,7804467467643810.0,5667151170758350.0,2952141899678010.0,4183436030199120.0,1482.0
50%,1488.0,1.64595533854584e+16,9992655905394820.0,7615346080757950.0,6675176737204430.0,1.06617888763848e+16,1.7868744471709e+16,6791978434602490.0,1.05146901509074e+16,5798354810215240.0,0.9741781201218964,-1.77925296061543e+16,9010972598653690.0,1.34351563663908e+16,2.26032672281754e+16,4273076936744960.0,2.73358511510161e+16,0.7029815316586863,0.1833106005647639,0.0,7812800578133350.0,5667782930476250.0,2952708637432040.0,4191292047863650.0,1488.0
75%,1494.0,1.64660014517951e+16,9995013523970800.0,7615890681407640.0,6675528523401340.0,1.06689815014837e+16,1.79121144928026e+16,6796618560007710.0,1.05400999398852e+16,5798730369392240.0,0.9743228070364472,-1780658172357050.0,9012647172564590.0,1.34386518107819e+16,2.26090684767362e+16,4275926781387680.0,2.7352365036684e+16,0.7043260792277908,0.18345004166144854,0.0,7818011966495870.0,5668275965734830.0,2.95213853864745e+16,4192168384550910.0,1494.0
max,1500.0,1.64716757309823e+16,9995794681988630.0,7617053229473680.0,6675872302945690.0,1.06741327717664e+16,1.79287376416489e+16,6.80249228417871e+16,1.05529894393109e+16,5.79872719612053e+16,0.9743608376929108,-1778730781795110.0,9013159298396600.0,1.34422574595468e+16,2.26222555275561e+16,4.27678243457815e+16,2.73772292932264e+16,0.7047454339180735,0.18362765196546585,0.0,7.81070995565767e+16,5.66778670843976e+16,2.95273687914683e+16,4.19203624617669e+16,1500.0
