Quantities,Iteration,03_Downforce Monitor: 03_Downforce Monitor (N),03_Downforce_Diffusor Monitor: 03_Downforce_Diffusor Monitor (N),03_Downforce_Frontfluegel Monitor: 03_Downforce_Frontfluegel Monitor (N),03_Downforce_Heckfluegel Monitor: 03_Downforce_Heckfluegel Monitor (N),03_Downforce_HI Monitor: 03_Downforce_HI Monitor (N),03_Downforce_Seitenkasten Monitor: 03_Downforce_Seitenkasten Monitor (N),03_Downforce_Seitenkasten_Flap Monitor: 03_Downforce_Seitenkasten_Flap Monitor (N),03_Downforce_Seitenkasten_Main Monitor: 03_Downforce_Seitenkasten_Main Monitor (N),03_Downforce_VO Monitor: 03_Downforce_VO Monitor (N),04_Cx Monitor: 04_Cx Monitor,04_Cz Monitor: 04_Cz Monitor,04_Luftwiderstand Monitor: 04_Luftwiderstand Monitor (N),04_Luftwiderstand_Frontfluegel Monitor: 04_Luftwiderstand_Frontfluegel Monitor (N),04_Luftwiderstand_Heckfluegel Monitor: 04_Luftwiderstand_Heckfluegel Monitor (N),04_Luftwiderstand_Seitenkasten Monitor: 04_Luftwiderstand_Seitenkasten Monitor (N),04_Luftwiderstand_Seitenkasten_Flap Monitor: 04_Luftwiderstand_Seitenkasten_Flap Monitor (N),04_Luftwiderstand_Seitenkasten_Main Monitor: 04_Luftwiderstand_Seitenkasten_Main Monitor (N),05_Massflow_KM Monitor: 05_Massflow_KM Monitor (kg/s),06_Effizienz Monitor: 06_Effizienz Monitor,06_Effizienz_Diffusor Monitor: 06_Effizienz_Diffusor Monitor,06_Effizienz_Frontfluegel Monitor: 06_Effizienz_Frontfluegel Monitor,06_Effizienz_Heckfluegel Monitor: 06_Effizienz_Heckfluegel Monitor,06_Effizienz_Seitenkasten Monitor: 06_Effizienz_Seitenkasten Monitor,Iteration: Iteration 2
count,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0
mean,1488.0,1.4882635330938288e+16,7659373792480246.0,6882514436918189.0,6085885694568401.0,9343375925990126.0,1.6362018225494824e+16,1.344966617042433e+16,1.155930075103683e+16,1.4403866174496238e+16,0.9768761274092261,-1.4058405820645632e+16,6759562530838194.0,1.2126834466910036e+16,1.599436498060917e+16,8384963034696783.0,1.7889862154173826e+16,0.8529820558200385,0.24843074685634978,0.0,1.3361811856465542e+16,1.1192508475700688e+16,1.6395676558722984e+16,7649017438606789.0,1488.0
std,7.359800721939872,5855044519615174.0,3105014968705881.0,2303127100801910.5,1634230877323107.5,4186455741283881.5,1.1693212808325862e+16,1.9302323585222584e+16,8529157773659176.0,2.030350860044401e+16,0.00039472505471248006,7751568971410346.0,3727191554059585.5,4058038678543428.0,9803193181255274.0,1.3245923948172358e+16,1.2782065182359846e+16,0.004443429776106985,0.0002466191602958608,0.0,1.9899564864006988e+16,1.725525015494926e+16,1.3452764329681286e+16,1.0887314252590874e+16,7.359800721939872
min,1476.0,1736803408338910.0,89660426679725.0,771413726763399.0,655424893436334.0,1137553854598140.0,257304139303207.0,6454875823672740.0,183759529150732.0,598462803197901.0,0.9762033216339084,-1.88043134227966e+16,903098252435137.0,1359425127037390.0,225730619598744.0,433192309309709.0,280690947341426.0,0.8486472350937228,0.2480705783413269,0.0,796467881405946.0,567444640787982.0,290748604853625.0,593045474917236.0,1476.0
25%,1482.0,1.73774694035754e+16,8966056447953860.0,7711687385522310.0,6551414587600460.0,1.1362328124619e+16,2572730226384970.0,6458522886231040.0,1836855997800960.0,5981685123236080.0,0.9765865597376286,-1.88003543381815e+16,904163898496034.0,1.35885208015281e+16,2257835107446660.0,4324830719312170.0,2820910874851790.0,0.8489567584461416,0.2482265558837637,0.0,7922365819513370.0,5674558395463440.0,2904909018126950.0,5926802836521560.0,1482.0
50%,1488.0,1.73850405272314e+16,8986863503274570.0,7716355141748570.0,6557397832773690.0,1.13949892727211e+16,2.5680935886039e+16,6465397644093810.0,1.834183242762e+16,5992782038785360.0,0.9768607022376744,-1.87914353790164e+16,9034170438511210.0,1.35955014540189e+16,2.25750160428397e+16,4327496753733260.0,2.80718586085033e+16,0.8515499266445192,0.24842033517735,0.0,7944162360570030.0,5675260102894110.0,2.90055446510393e+16,5937717343249960.0,1488.0
75%,1494.0,1.73910631927367e+16,8995911777385380.0,7718401801408940.0,6562215095993400.0,1.1406126680498e+16,2.57182650069931e+16,6475120500509160.0,1.83849518264255e+16,6004789455759350.0,0.9772029863141264,-1880397601756330.0,9038952730244640.0,1.35990122585678e+16,2.25790422497556e+16,4331990047121270.0,2.80963601175148e+16,0.8564572117255473,0.24863924909757865,0.0,7957781275178040.0,5676683274005260.0,2.90530477008937e+16,5946269290810790.0,1494.0
max,1500.0,1.73946104790041e+16,8996617648602410.0,7718722414299140.0,6566847684711890.0,1.14092271667095e+16,2.57312605128525e+16,6.48762481780555e+16,1.83992885801833e+16,6.0028316196015e+16,0.977501188794562,-1877558320929760.0,9042208582437100.0,1.35997737030124e+16,2.25860711012767e+16,4.34650611183302e+16,2.82096941192591e+16,0.8613264095996797,0.24882837002070865,0.0,7.95796169687837e+16,5.67671390029387e+16,2.90747667908243e+16,5.94251204593896e+16,1500.0
